"2020.10.01. csütörtök";15.8;13.9;5.2;6;;

"2020.10.02. péntek";21.6;12.5;4.3;0.2;;

"2020.10.03. szombat";27;16.1;6.9;0;;

"2020.10.04. vasárnap";22.4;17.6;6.4;6;;

"2020.10.05. hétfő";22.8;16.2;5.7;0;;

"2020.10.06. kedd";21.9;14.8;4.3;0;;

"2020.10.07. szerda";15.9;14.5;6.8;2.5;;

"2020.10.08. csütörtök";18.1;11.3;6.6;0;;

"2020.10.09. péntek";18.8;12.1;2.5;0;;

"2020.10.10. szombat";20.6;15.1;2.3;0;;

"2020.10.11. vasárnap";14.7;12.5;3.7;1.5;;

"2020.10.12. hétfő";13.5;9.6;4.9;30.1;;

"2020.10.13. kedd";10.1;8;7.9;32.5;;

"2020.10.14. szerda";13.1;7.5;8.9;8.8;;

"2020.10.15. csütörtök";12.6;10.3;4.2;10.4;;

"2020.10.16. péntek";12.8;9.3;3.8;0.9;;

"2020.10.17. szombat";10.6;8.6;5.5;0;;

"2020.10.18. vasárnap";12.3;7.9;6;0;;

"2020.10.19. hétfő";14.1;8;2.8;0;;

"2020.10.20. kedd";14.8;9.6;4;0;;

"2020.10.21. szerda";16.6;8.9;4.2;0;;

"2020.10.22. csütörtök";15.7;10.3;3.2;0;;

"2020.10.23. péntek";16.4;10.8;1.8;0;;

"2020.10.24. szombat";17.9;12.1;5.6;0;;

"2020.10.25. vasárnap";13.3;12.9;2.3;4.5;;

"2020.10.26. hétfő";19;11.7;6.6;0;;
