"2020.04.01. szerda";10;3.1;1.9;0;;

"2020.04.02. csütörtök";11.1;3.2;2.8;0;;

"2020.04.03. péntek";13.8;4.2;4.1;0;;

"2020.04.04. szombat";15;6.6;3.8;0;;

"2020.04.05. vasárnap";15.9;7.9;4.6;0;;

"2020.04.06. hétfő";15.6;8;3.8;0;;

"2020.04.07. kedd";17;8.2;1.9;0;;

"2020.04.08. szerda";19.2;9.8;1.4;0;;

"2020.04.09. csütörtök";20.5;11.3;3.9;0;;

"2020.04.10. péntek";18.8;12.5;4.7;0;;

"2020.04.11. szombat";18.9;10.6;2.5;0;;

"2020.04.12. vasárnap";17.9;10.8;3.4;0;;

"2020.04.13. hétfő";21.1;11.9;6.1;0.3;;

"2020.04.14. kedd";10.9;7.2;6.9;0.2;;

"2020.04.15. szerda";13.6;5.3;5;0;;

"2020.04.16. csütörtök";19.5;8.1;4.1;0;;

"2020.04.17. péntek";21.4;11.4;5.4;0;;

"2020.04.18. szombat";20.5;12.7;3;1;;

"2020.04.19. vasárnap";17;12.4;5.1;11.4;;

"2020.04.20. hétfő";15.4;8.4;5.5;0;;

"2020.04.21. kedd";16.2;7.8;6;0;;

"2020.04.22. szerda";17.2;8.4;4.1;0;;

"2020.04.23. csütörtök";18.5;9.6;2.8;0;;

"2020.04.24. péntek";18.9;11.4;4.7;0;;

"2020.04.25. szombat";18.4;12.3;8.5;0.4;;

"2020.04.26. vasárnap";18.3;9.2;3.2;0;;

"2020.04.27. hétfő";18.8;10.9;3.9;0;;

"2020.04.28. kedd";22.2;12.1;5.3;2.5;;

"2020.04.29. szerda";18.4;14.2;5.6;3.1;;

"2020.04.30. csütörtök";21;12.1;6.3;0.5;;
