"2020.01.01. szerda";3;0.2;4.5;0;;

"2020.01.02. csütörtök";3.3;-0.5;1.6;0;;

"2020.01.03. péntek";2.4;-0.7;1.6;0;;

"2020.01.04. szombat";6.7;1.1;7.4;0;;

"2020.01.05. vasárnap";3.5;-0.7;7.9;0.1;;

"2020.01.06. hétfő";1;-1;1.7;0;;

"2020.01.07. kedd";1.7;-1.3;1.5;0;;

"2020.01.08. szerda";1.1;-1.2;1.2;0;;

"2020.01.09. csütörtök";1.3;-1;1.8;0;;

"2020.01.10. péntek";1.5;-0.7;2.6;0;;

"2020.01.11. szombat";6.5;0.2;4.8;0;;

"2020.01.12. vasárnap";4.2;0.8;1.4;0;;

"2020.01.13. hétfő";2.7;-0.3;1.9;0;;

"2020.01.14. kedd";2.9;-0.5;2.1;0;;

"2020.01.15. szerda";3.1;-0.4;2.3;0;;

"2020.01.16. csütörtök";3;-0.1;1.4;0;;

"2020.01.17. péntek";2.5;-0.3;2.2;0;;

"2020.01.18. szombat";1.7;-0.8;2.3;0;;

"2020.01.19. vasárnap";2.8;0.1;2.5;0.1;;

"2020.01.20. hétfő";4.4;-0.1;2.6;0;;

"2020.01.21. kedd";3.6;-0.5;1.5;0;;

"2020.01.22. szerda";2.8;-0.9;4.7;0;;

"2020.01.23. csütörtök";3.4;-0.6;4.6;0;;

"2020.01.24. péntek";1.7;-1.6;1.9;0;;

"2020.01.25. szombat";1.6;-0.9;1.6;0.9;;

"2020.01.26. vasárnap";1.2;0.3;1.9;0.4;;

"2020.01.27. hétfő";5.7;1.5;2;0;;

"2020.01.28. kedd";4.7;0.3;3.6;6.8;;

"2020.01.29. szerda";5.3;1.5;6.8;0.1;;

"2020.01.30. csütörtök";4.5;0.3;6.7;0.4;;

"2020.01.31. péntek";11;1.5;7.1;0.7;;
