"2020.03.01. vasárnap";9.6;6.5;6.2;5.6;;

"2020.03.02. hétfő";12.4;7.5;6.6;12.9;;

"2020.03.03. kedd";10.5;6.1;4.7;4.3;;

"2020.03.04. szerda";8.9;5.1;6.4;0;;

"2020.03.05. csütörtök";9.8;2.9;4;0;;

"2020.03.06. péntek";5.6;3.8;4.8;11.8;;

"2020.03.07. szombat";9.3;4.9;6.8;1.2;;

"2020.03.08. vasárnap";9;2.5;4.5;0;;

"2020.03.09. hétfő";10;3.4;2.6;0;;

"2020.03.10. kedd";11.3;4.4;4.6;0;;

"2020.03.11. szerda";14.6;6.8;4.8;1.5;;

"2020.03.12. csütörtök";16.7;9.5;5.3;0;;

"2020.03.13. péntek";13.1;7.2;7.6;0.4;;

"2020.03.14. szombat";9.7;4.8;5.8;0;;

"2020.03.15. vasárnap";8.9;2.1;4.1;0;;

"2020.03.16. hétfő";10.6;2.5;6.1;0;;

"2020.03.17. kedd";13.1;4.1;1.5;0;;

"2020.03.18. szerda";15.5;7.8;1.7;0;;

"2020.03.19. csütörtök";17.2;8.9;2.2;0;;

"2020.03.20. péntek";17.6;10.5;2.8;0;;

"2020.03.21. szombat";15.4;4.8;6.9;2.9;;

"2020.03.22. vasárnap";5.8;1.4;4.8;1;;

"2020.03.23. hétfő";3.7;0;9.3;1.1;;

"2020.03.24. kedd";6.2;0.1;7.7;0;;

"2020.03.25. szerda";5;0.5;6.2;0;;

"2020.03.26. csütörtök";11.9;3;5.4;0;;

"2020.03.27. péntek";14.4;6.2;3.6;0;;

"2020.03.28. szombat";16.4;8;2.7;0;;

"2020.03.29. vasárnap";15.8;8.8;5.7;0;;

"2020.03.30. hétfő";8.1;2;4.2;1.4;;

"2020.03.31. kedd";8.3;1.6;2.8;0;;
